Morford	Mark P. O.
Roberts	Nora
Delinsky	Barbara
Wharton	Edith
Belli	Giaconda
Meadon	R.
Woolf	Virginia
Gauez	Fernando Fernaun
Raich	Rosa Maria
Bulgakov	Mijail
Doblin	Alfred
Gray	Marianne
Koontz	Dean R.
Anderson	Sherwood
Paulsen	Amy
Alvarez	Julia
Twain	Mark
Blume	Judy
Lamb	Wally
Waller	Robert James
King	Florence
Orwell	George
Rogers	Rosemary
Brown	Sandra
REICH	CHRISTOPHER
Cantwell	Mary
Fatsis	Stefan
Kinsley	Michael
Listbader	Eric Van
Austen	Mary
Dadey	Debbie
Stanley	Charles, Dr
Carson	Rick
Clifford	Eth
PAULSEN	GARY
Cooney	Caroline B.
Banks	Lynne Reid
Ammaniti	Niccolo
MYERS	WALTER DEAN
Lahaye	Tim
Jenkins	Jerry B.
O'DELL	SCOTT
Jenkins	Jerry
Sachar	Louis
White	E. B.
TOLKIEN	J.R.R.
Paulsen	Gary
Stine	R. L.
Shreve	Susan Richards
Jenkins	Jerry B.
Jenkins	Jerry
Marshall	James
Holland	Isabelle
Myers	Walter Dean
Nesbit	Edith
Sturgeon	Theodore
Veninga	Robert L.
Stegner	Wallace
Patterson	James
Tyler	Anne
Beattie	Melody
Austen	Mary
Arnold	Janis
Bonner	Cindy
Crafts	Hannah
Lackey	Mercedes
Lackey	Mercedes
Lackey	Mercedes
Grimsley	Jim
SIEGEL	ROBERT
SCARRY	RICHARD
Davies	Robertson
Spillane	Mickey
Carr	Caleb
Knowles	John
Hornby	Nick
HALBERSTAM	DAVID
Ferguson	Will
OFF	CAROL
Tolstoy	Leo
Gaiman	Neil
Lane	Anthony
Gladwell	Malcolm
Toole	John Kennedy
Blow	Richard
Beamer	Lisa
Suzuki	David
Connolly	John
Morris	J.M.
Lewis	Sara
Woolf	Virginia
Rankin	Ian
Paretsky	Sara
Rankin	Ian
Rankin	Ian
Perry	Anne
Sayers	Dorothy L.
Barr	Nevada
Peters	Ellis
Austen	Mary
Austen	Mary
Reichert	Mickey Zucker
Hogan	Lee
Kingsolver	Barbara
Kellerman	Jonathan
Miller	Judith
Frankl	Viktor E.
Pearson	T. R.
Fitch	Janet
Tournier	Michel
Schultheis	Bill
Gross	Kim Johnson
PUZO	MARIO
PUZO	MARIO
King	Stephen
Witt	Wilbur
Lawrence	Iain
Greenberg	Martin H.
IRVING	JOHN
Jones	Diana Wynne
Cook	Robin
Burroughs	Augusten
Maguire	Gregory
Walters	Minette
Walters	Minette
Dunning	John
Wright	Peter
ROBBINS	TOM
Stewart	Mary
Vidal	Gore
Danielewski	Mark Z.
George	Elizabeth
Cochran	Molly
Baldacci	David
Jacques	Brian
Collins	Jim
PIRSIG	ROBERT
McAllister	Troon
Case	John
Mieville	China
McCourt	Frank
Banks	Iain
Lee	Chang-Rae
DeMille	Nelson
BRADBY	TOM
Breslin	Jimmy
Leonard	Elmore
Klavan	Andrew
Haslett	Adam
Eco	Umberto
Price	Victoria
Alexander	Lloyd
Gaiman	Neil
Yoshimoto	Banana
Grisham	John
Rogers	D. E.
Robinson	Douglas R.
Black	Millenia
Fox	Laurie
Northcutt	Wendy
Mull	Martin
Tyler	Anne
Carter	Rubin
Gifford	Thomas
Carey	Peter
Burke	Cinammon
Winters	Rebecca
Laker	Rosalind
Orwig	Sara
Alcott	Louisa May
McCullen	Mary
DAVIDSON	DIANE MOTT
Squire-Buresh	Anne L.
Thayer	Nancy
Barry	Dave
Thompson	Hunter S.
Linamen	Karen Scalf
Adams	Scott
Wilde	Oscar
Auster	Paul
NABOKOV	VLADIMIR
Marai	Sandor
Bennett	Alan
Blissett	Luther
Saavedra	Miguel De Cervantes
Moore	Michael
Schneider	Helga
Allende	Isabel
Zafon	Carlos Ruiz
Jamal	Salah
Rico	Santiago Alba
Tena	Luca de
Austen	Mary
Craze	Richard
Cercas	Javier
Salinger	J. D.
Salinger	J. D.
Arsan	Emmanuelle
Bucay	Jorge
Moix	Terenci
Etxebarria	Lucia
Burke	Delta
Snicket	Lemony
Johnston	Michael
Palmer	Michael
Pike	Christopher
Heinlein	Robert A.
Simpson	Robert
Martin	Michael A.
Jarman	Heather
III	David R. George
Card	Orson Scott
Holder	Nancy
Golden	Christopher
Golden	Christopher
Garton	Ray
Shatner	William
Shatner	William
Shatner	William
Shatner	William
Fitzgerald	F. Scott
Coupland	Douglas
Leroux	Gaston
Burke	Jan
Laing	Ed
Martin	Ann M.
Martin	Ann M.
Kahn	A. Michael
Hiaasen	Carl
French	Nicci
Hiaasen	Carl
Roberts	Nora
Green	Christine
Follett	Ken
Nordan	Lewis
Heller	Jane
Diehl	William
Wolff	Isabel
Collins	Judy
Fenton	Julia
Brady	Vicki A.
Leonard	Elmore
Davidson	Diane Mott
Herbert	James
DOBSON	LINDA
Barnes	Bob
Allen	Marvin
Walters	Minette
PLAIN	BELVA
Hobbie	Douglas
Gower	Iris
Sher	Antony
Leon	Donna
Adams	Scott
Jimenez	Juan Ramon
Asimov	Isaac
Jacobs	A.J.
Harris	Marvin
Marinoff	Lou
Paulos	John Allen
Tamaro	Susana
Chopra	Deepak
Harris	Marvin
Austen	Mary
Bank	Melissa
Martin	Steve
Karon	Jan
Welch	Jack
Press	Conari
III	Andre Dubus
Paulsen	Gary
Fehlau	Ria
Baldacci	David
Odom	Mel
Cooney	Caroline B.
Shales	Tom
Katzenbach	John
Barr	Nevada
McCrumb	Sharyn
Evanovich	Janet
Goldsborough	Robert
CRAIS	ROBERT
Grimes	Martha
Blake	Jennifer
Pavord	Anna
Wolff	Isabel
Fforde	Katie
Deveraux	Jude
Macomber	Debbie
McKinley	Robin
Segal	Erich
Perry	S.D.
Perry	S.D.
Perry	S.D.
Perry	S.D.
Scieszka	Jon
Scieszka	Jon
Scieszka	Jon
Straley	John
Clancy	Tom
Bell	Julia
Lee	Harper
Hornby	Nick
Larkin	Philip
Hornby	Nick
Munsch	Robert N.
Smith	Zadie
Quivers	Robin
Guterson	David
Silverberg	Robert
Maguire	Gregory
Hegi	Ursula
King	Stephen
Maclean	Norman
Hinton	S. E.
Gunther	John
Salinger	J. D.
Gaarder	Jostein
Harris	Thomas
Paton	Alan
Preston	Richard
Flank	Lenny
Adamson	Joy
Tepper	Sheri S.
Mahfouz	Naguib
Hui	Wei
Rushdie	Salman
Landis	Catherine
Brown	Mary
Huff	Tanya
Huff	Tanya
Ward	Amanda Eyre
Carson	Rachel
Kingsolver	Barbara
ADAMS	DOUGLAS
Hawks	Tony
Clarke	Lindsay
Alexander	Lloyd
Tepper	Sheri S.
Tepper	Sheri S.
McQuillan	Karin
Rice	Anne
Thomson	Amy
Thomson	Amy
Tepper	Sheri S.
Bradley	Marion Zimmer
Rowland	Laura Joh
Rowland	Laura Joh
STEPHENSON	NEAL
Kellogg	Marjorie B.
Kellogg	Marjorie B.
Kellogg	Marjorie B.
Kellogg	Marjorie B.
Tolkien	J. R. R.
Baker	Kage
Baker	Kage
Clement-Davies	David
Pollack	Rachel
Jenkins	Emily
Baker	Kage
Cornelius	Mirika Mayo
Krulak	Victor H.
Williams	William Carlos
Lamanna	Mary Ann
Litton	Josie
Drosnin	Michael
Richardson	Bill
Searles	John
Grace	Carol
Miller	Linda Lael
Stone	Tom
Penman	Sharon Kay
Reynolds	Sheri
Bluh	Bonnie
TRIGIANI	ADRIANA
Murphy	Gloria
Shipman	Pat
Thomas	Donald
Matlock	Curtiss Ann
Freedman	Benedict
RICE	LUANNE
Macomber	Debbie
Berg	Elizabeth
Roberts	Nora
Robinson	Roxana
Roberts	Nora
Scott	Willard
Graham	Laurie
Leclaire	Anne D.
Hall	Parnell
Anderson	Catherine
Rivers	Nikki
Schulze	Dallas
Jenson	Muriel
Craig	Emma
Pearl	Nancy
Winton	Tim
McEwan	Ian
Gautreaux	Tim
Fergus	Jim
Card	Orson Scott
Robinson	Randall
Marrs	Jim
Mendoza	Eduardo
Flaubert	Gustave
Abbott	Edwin A.
Henry	O.
Walters	Minette
Hogan	James P.
Forbes	Colin
Kundera	Milan
Weible	Wayne
Boyle	T. Coraghessan
Cela	Camilo Jose
Harwood	Jeremy
Underwood	Jim
Cleage	Pearl
McCourt	Frank
Morgan	Marlo
Meier	Gary
Hillen	Ernest
Madden	Deirdre
Lawrence	D.H.
Braam	Stella
DeLaney	Frank
Holt	Tom
Bieg	Hartmut
Franzen	Jonathan
Hiaasen	Carl
Collins	Max Allan
Pierce	Barbara
McCall	Dinah
Krahn	Betina
Small	Bertrice
Love	Kathy
Plumley	Lisa
London	Cait
Kleypas	Lisa
Baratz-Logsted	Lauren
Roberts	Nora
Barr	Nevada
Gottlieb	Annie
Thompson	Vicki Lewis
Johnston	Tony
Barjavel	Rene
Munro	Ken
Parkhurst	Liz Smith
Martin	Steve
King	Thomas
Schneider	Hansjeirg
Strauss	Botho
Burkart	Erika
Austen	Mary
Moltke	Freya von
Delau	Reinhard
Schneider	Hansjaurg
Viragh	Christina
Bombeck	Erma
Wirz	Jacques
Ludlum	Robert
Forsyth	Frederick
Moore	Michael
Meeks	Linda Brower
Sacks	Oliver W.
Lukas	Paul
CAPRA	FRITJOF
Kelman	Suanne
Seabrook	John
Tiger	Lionel
Niedzviecki	Hal
Becker	Ernest
Allen	Woody
Burton	Tim
Moss	Steve
Lott	Tim
Cain	James M.
HAMMETT	DASHIELL
Anastas	Benjamin
Saramago	Jose
Zipes	Jack
Coupland	Douglas
Garland	Alex
Nersesian	Arthur
Kirn	Walter
Hornby	Nick
Hornby	Nick
Shreve	Anita
Berg	Elizabeth
Henke	Roxanne
Staub	Wendy Corsi
Piven	Joshua
Williamson	Hugh Ross
Ribarich	Cindy
Lessard	Bill
Schechter	Harold
Adkins	Lesley
Gibson	Ian
Bondeson	Jan
Stallman	Richard M.
Bullard	Vaughn
Gentle	Mary
Hamilton	Laurell K.
Hazel	Philip
Austen	Mary
Snicket	Lemony
O'BRIEN	TIM
Williams	Stephen
Perrin	Noel
Angier	Natalie
King	Laurie R.
Lessig	Lawrence
Everitt	Anthony
Shatner	William
Nelson	Michael J.
KENDRICK	STEPHEN
Millett	Larry
Gaiman	Neil
Hamilton	Laurell K.
Kennedy	Randall
Morton	Rochelle
Kelly	Jeff
Lynch	Thomas
King	Larry L
MACINTYRE	BEN
Friedman	David M.
Rilly	Cheryl
Hagberg	David
Price	Eugenia
Zafon	Carlos Ruiz
Crescenzo	Luciano De
Burns	Edward McNall
Alter	Steven
Patier	Xavier
Serguine	Jacques
Schneider	Helge
JOHANSEN	IRIS
Heinlein	Robert A.
Pike	Christopher
Flaubert	Gustave
Twain	Mark
Twain	Mark
Desai	Anita
Taylor	Gladys
Kinsella	W. P.
Nash	Bruce
Vandevelde	Vivian
Mosley	Walter
BOWEN	GAIL
Winchester	Simon
Kafka	Franz
Zipes	Jack David
Zipes	Jack
Martin	George R.R.
Martin	George R. R.
MARTIN	GEORGE R.R.
Koja	Kathe
Lansky	Doug
Morgan	Marlo
White	Stephen
Krantz	Judith
Henrick	Richard
Kingsley	Johanna
Crichton	Michael
Thomas	Craig
Christie	Agatha
Notaro	Laurie
Caldwell	Taylor
McMurtry	Larry
Proulx	Annie
Fielding	Joy
Frank	Dorothea Benton
Cameron	Julia
Griffin	Mark
Powers	Elizabeth
Perrotta	Louise
Cooper	Sue Ellen
Rohr	Richard
Kincaid	Jamaica
Fleischman	Paul
KRAKAUER	JON
Livesey	Margot
HANAUER	CATHI
Moorman	Margaret
Ali	Monica
Fielding	Joy
BERG	ELIZABETH
Fowler	Karen Joy
Fielding	Joy
Sparks	Micah
Winston	Lolly
MINOT	SUSAN
Allen	Charlotte Vale
Binchy	Maeve
Galeano	Eduardo H.
Law	Janice
Hawkes	Judith
Jennings	James
Baudrillard	Jean
Schwartz	Alvin
Burgess	Melvin
Walsch	Neale Donald
Walsch	Neale Donald
Jin	Ha
Suri	Manil
Grimes	Martha
JAMES	P.D.
Peery	Janet
Franzen	Jonathan
Alexander	Robert
Fisher	Antwone Quenton
Chappell	Fred
MARQUEZ	GABRIEL GARCIA
Park	Frances
Berg	Elizabeth
Gordon	Caroline
Banks	Russell
Berg	Elizabeth
Niffenegger	Audrey
Wells	Rebecca
Zahn	Timothy
PULLMAN	PHILIP
McCullough	Colleen
O'Cork	Shannon
Kirk	Larry
Chabon	Michael
Scarfe	Gerald
Bell	Steve
Bell	Steve
Bryant	Mark
Goffe	Toni
Townsend	Sue
Stickland	Henrietta
Rai	Milan
Sebald	W G
Kipling	Rudyard
Wagstaff	Mandy
Liedloff	Jean
Self	Will
Greene	Graham
Lanchester	John
Follett	Ken
STEVENS	JOHN
Pressfield	Steven
Hillier	B.B.
Moore	Lorrie
Patterson	Richard North
Follett	Ken
Vonnegut	Kurt
Ludlum	Robert
MacDonald	John D.
Adams	Douglas
Wilkinson	Bruce
Hesse	Karen
Day	Marlene
Klein	Robin
Eco	Umberto
King	Stephen
Finn	David
Cohen	Cafi
Moore	Raymond S.
Palladino	Lucy Jo
McMillan	Terry
Dobson	Linda
Shreve	Anita
Woods	Stuart
Silva	Daniel
Lescroart	John T.
Silva	Daniel
Williams	Tad
Peters	Elizabeth
Adams	Robert
Anthony	Piers
Turtledove	Harry
Turtledove	Harry
Harris	Robert
WEIS	MARGARET
TEVIS	WALTER
WEIS	MARGARET
Weis	Margaret
Dick	Philip K.
Turtledove	Harry
Turtledove	Harry
Turtledove	Harry
Turtledove	Harry
Adams	Robert
Wangerin	Walter
Dick	Philip K.
Card	Orson Scott
Anthony	Piers
Turtledove	Harry
Shute	Nevil
Black	Conrad
Dick	Philip K.
Aldiss	Brian
Vonnegut	Kurt
Dick	Philip K.
Anthony	Piers
Brooks	Terry
Anthony	Piers
Tevis	Walter
King	Stephen
Anthony	Piers
King	Stephen
Austen	Mary
Niven	Jennifer
Scottoline	Lisa
Fowler	Christopher
Grisham	John
Moore	Michael
Moore	Michael
HAWKING	STEPHEN
Macarthur	Brian
Knaak	Richard A.
Moore	Michael
Yergin	Daniel
Wouk	Herman
Hugo	Victor
Orwell	George
Hood	Daniel
Hesse	Hermann
Kiesow	Ulrich
Koontz	Dean
Koontz	Dean
Koontz	Dean
Koontz	Dean R.
Haldeman	Joe
Wilson	Robert Charles
Hamilton	Peter F.
Forsyth	Frederick
Pascoe	Irene M.
Koss	Amy Goldman
Allison	Dorothy
Drake	David
Barron	Stephanie
Hewitt	William W.
Shakespeare	William
Eliade	Mircea
Wyndham	John
Boyd	William
Mortimer	John
Cohen	J.M.
Whitten	D. G. A.
Moore	Wilfred George
Nietzsche	Friedrich
Roberts	A.R.R.R.
Stewart	Leighton
Shute	Nevil
Mondey	David
Roffey	Monique
Blexley	Peter
Austen	Mary
Austen	Mary
Gardens	Better Homes and
Cole	Brian
Griffith	D.
Holland	Tom
Meade	Glenn
Grisham	John
Bichler	Albert
Remains	Jill
Davis	Natalie Zemon
Holden	Wendy
KAUFFMAN	DONNA
Hornby	Nick
Ephron	Nora
Shakespeare	William
Austen	Mary
Austen	Mary
Austen	Mary
TYLER	ANNE
Friday	Nancy
Quick	Amanda
Steinem	Gloria
GABALDON	DIANA
Crusie	Jennifer
Carey	Lisa
BRADFORD	BARBARA TAYLOR
Rock	Joanne
Rathbone	Andy
Cook	Robin
Crichton	Michael
Bennett	William J.
Parrish	Richard
Austen	Mary
Bullock	Alan
Ramgobin	Mewa
IVINS	MOLLY
McNeil	Legs
Adams	Scott
Baker	Stephen
Withey	Lynne
Josephus	Flavius
Vidal	Gore
Barnes	Julian
Miller	Henry
Austen	Mary
Armstrong	Karen
Moran	Richard
HAILEY	ARTHUR
Austen	Mary
Didion	Joan
Gitlin	Todd
Fraser	Steve
Postman	Neil
Ivins	Molly
Halberstam	David
Robertson	Pat
Asimov	Isaac
DUMAS	FIROOZEH
Pilcher	Rosamunde
HANNAH	KRISTIN
Schine	Cathleen
Prose	Francine
Garlock	Dorothy
Dietrich	William
QUINDLEN	ANNA
Pilcher	Rosamunde
Brooks	Terry
Jensen	Ruby
Derbyshire	John
Hanh	Thich Nhat
Dobyns	Stephen
Spinelli	Jerry
Crichton	Michael
Seranella	Barbara
Blanchard	Alice
West	Tracey
George	Margaret
Jance	J.A.
BERNHARDT	WILLIAM
Cornwell	Patricia
Begley	Louis
Arnim	Elizabeth von
Stout	Rex
Sayers	Dorothy L.
Tuttle	Cameron
Archer	Jeffrey
Parker	T. Jefferson
Austen	Mary
